OUT,21,49,22,23,50,185,24,194,48,18,A96,13,189,11,A99,A88,184,A98,187,2,1,10,181,182
ASV_1,336,1048,327,564,448,249,343,590,398,362,174,556,390,388,175,543,346,205,315,186,221,91,231,179
ASV_2,111,46,62,40,0,0,5,0,89,25,22,194,77,68,33,53,0,38,27,0,0,43,27,21
ASV_3,177,346,182,164,98,0,109,167,128,14,3,0,0,36,147,49,0,2,0,0,0,0,0,34
ASV_4,5082,1525,3456,2707,1925,572,2374,2729,2907,1480,241,2555,2912,1707,502,1354,1006,689,554,596,181,407,337,858
ASV_5,1568,700,674,685,530,0,834,1188,1114,1431,305,1591,1782,1080,650,1320,0,721,99,66,0,0,124,62
ASV_6,0,301,0,0,412,2,0,2,566,344,0,480,534,508,76,182,0,2,41,96,82,94,97,65
ASV_7,1768,791,963,567,353,425,280,286,173,101,103,127,124,105,90,115,130,47,47,48,0,0,0,0
ASV_8,98,36,123,98,36,17,467,159,33,26,145,186,34,20,64,81,105,347,186,160,168,34,319,116
ASV_9,357,126,383,285,180,339,1369,479,177,142,417,580,136,47,225,224,355,847,304,136,182,103,188,69
ASV_10,1494,1352,1915,1353,1988,2067,1277,2340,1224,1022,1815,1684,1828,1106,1319,1767,1874,1165,1044,2035,964,688,2179,1034
ASV_11,153,151,133,160,101,237,83,187,133,124,0,126,136,87,6,0,328,0,230,100,0,152,179,93
ASV_12,0,53,0,4,22,113,0,0,0,371,516,571,708,537,865,457,294,895,1652,1495,1023,1515,868,1054
ASV_13,402,160,347,344,218,0,172,734,423,216,89,351,258,137,123,101,15,148,0,12,0,0,27,0
ASV_14,96,0,147,43,3,108,361,43,2,0,110,0,141,145,302,0,170,202,79,86,20,30,24,173
ASV_15,0,0,65,79,65,0,193,24,0,68,49,0,59,77,176,0,0,91,0,0,0,0,0,0
ASV_16,113,314,143,170,118,11,96,157,149,113,201,524,538,203,190,213,0,176,12,52,56,20,0,0
ASV_17,0,0,0,0,0,344,0,0,0,0,0,0,0,60,0,0,194,0,470,164,388,230,122,184
ASV_18,292,252,98,65,23,1604,210,218,75,72,238,111,0,393,434,265,1451,316,1105,959,798,1242,1143,1258
ASV_19,274,63,109,143,77,0,88,89,55,102,125,115,82,87,132,90,0,162,111,106,54,119,0,36
ASV_20,0,0,0,0,0,125,6,0,2,160,162,168,126,106,617,169,193,93,581,82,43,178,88,124
ASV_21,137,0,128,0,264,0,0,122,632,162,242,324,197,132,146,224,0,0,0,0,0,16,0,0
ASV_22,0,4,0,9,0,95,0,0,0,94,0,17,638,66,0,164,187,0,10,84,0,121,6,99
ASV_23,79,0,0,0,9,54,81,0,0,65,85,97,0,91,154,68,94,126,141,156,152,255,117,116
ASV_24,53,76,116,0,80,64,0,214,52,97,70,147,142,3,69,83,55,147,48,17,0,0,5,0
ASV_25,175,0,144,149,0,99,0,65,143,116,151,210,173,59,53,71,119,73,184,37,137,78,115,86
ASV_26,454,87,317,119,91,1063,579,317,30,84,585,525,0,495,784,654,955,511,828,1173,468,845,849,970
ASV_27,39,8,7,18,119,14,9,12,13,143,130,173,157,106,207,96,4,168,0,0,0,0,5,0
ASV_28,237,0,564,155,249,175,130,143,157,49,35,4,29,22,0,73,100,0,44,0,18,0,11,0
ASV_29,104,0,53,36,0,188,71,128,0,63,0,0,83,149,2,1851,117,121,119,0,61,0,66,9
ASV_30,115,187,196,133,35,0,123,86,166,167,73,94,57,58,0,99,94,0,7,0,6,0,0,53
ASV_31,0,0,4,0,0,125,0,0,0,65,59,0,69,120,103,0,169,120,105,107,0,124,88,133
ASV_32,0,176,85,0,139,77,0,205,60,52,74,92,141,98,93,100,118,129,75,169,43,69,53,77
ASV_33,235,17,0,0,0,152,130,25,0,0,165,192,53,216,236,93,207,201,131,193,156,180,234,207
ASV_34,57,67,72,62,46,0,104,82,0,29,51,53,83,0,58,85,0,94,0,0,0,0,0,0
ASV_35,113,100,143,31,21,419,91,148,11,52,159,23,51,133,138,111,337,204,288,173,315,800,204,140
ASV_36,0,0,0,0,0,0,0,0,0,86,108,110,212,100,135,0,0,130,0,116,0,0,114,114
ASV_37,284,330,290,258,161,163,7,170,227,0,0,0,35,7,49,57,395,0,333,199,146,205,93,308
